cdc1.specific	cdc2.specific	shared
TNFRSF1B	TNFRSF14	MARCKSL1
HMGN2	TXNIP	JUN
SMAP2	SLAMF1	GADD45A
RHOC	SLAMF7	PEA15
PSMD4	F11R	LAD1
ETV3	TSTD1	LYST
CD1E	MGST3	FAM49A
RCSD1	TNFSF4	MTHFD2
MPZL1	TOR3A	TBC1D8
GLUL	RAB29	KYNU
RGS1	HLX	CYTIP
G0S2	GPR137B	LY75
OPN3	VAMP5	CERS6
RHOB	IGKV1-5	GLS
PPM1B	IGKV1-17	CFLAR
REL	IGKV3-20	NRP2
PCBP1	BCL2L11	MREG
MOB1A	SLC20A1	RFTN1
CAPG	GYPC	LRRFIP2
MERTK	TNFAIP6	FOXP1
FOXD4L1	IFIH1	CBLB
CXCR4	WIPF1	CD200
ZEB2	CALCRL	POGLUT1
TFPI	CNOT10	CSTA
RAPH1	H1FX	MGLL
FILIP1L	SLC9A9	SIAH2
NFKBIZ	LAP3	LAMP3
ALCAM	CXCL11	ARAP2
CD86	SEPT11	LIMCH1
TPRA1	RP11-290F5.1	GRSF1
FNDC3B	LMNB1	PPM1K
CCDC50	HINT1	DAPP1
RHOH	TIFAB	IL15
ANKRD55	ADAM19	ARHGAP10
CDC42SE2	CREBRF	ANKRD33B
IL12B	ADTRP	IL7R
MGAT1	HLA-DOB	KIF2A
LINC00847	TAP1	IRF1
DUSP22	TAPBP	IRF4
FLOT1	BZW2	UBD
IER3	IKZF1	MARCKS
PHIP	SRI	FSCN1
TNFAIP3	TSPAN33	BLVRA
PLEKHG1	PIM2	MYO1G
RALA	PPP3CC	VOPP1
COA1	DPYSL2	TFPI2
SNHG15	RAB11FIP1	TMEM176B
TPST1	RCL1	TMEM176A
LINC-PINT	DAPK1	NUB1
SH3KBP1	PTBP3	RAB9A
ACOT9	LSP1	ERICH1
IL13RA1	PACS1	SLCO5A1
CXorf40B	GSTP1	CCL19
ATP6V1B2	SERPINH1	ZFAND5
PTK2B	FAM21C	NMRK1
RIPK2	PPA1	TRAF1
TRIB1	COMTD1	GSN
FOXD4L4	PTMS	SWAP70
GADD45G	C12orf57	PLA2G16
NINJ1	ETV6	BIRC3
NUP98	SELPLG	FAM107B
SLC15A3	RHOF	RASSF4
TMEM123	ATP6V0A2	H2AFY2
CARD16	FLT3	ANXA7
CELF2	ENOX1	DUSP5
MAPK8	PSME1	TUBA1C
ANAPC16	PSME2	BTG1
CCND2	ARID4A	ISCU
CLEC2D	SMOC1	TRAFD1
H2AFJ	WARS	KDM2B
PLXNC1	IGHG1	N4BP2L1
TMCC3	IGHV3-21	EPSTI1
CHST11	RAB11A	TBC1D4
TAOK3	SEMA7A	MBNL2
ORAI1	MMP25	TNFAIP2
ITM2B	MVP	RPS27L
RNASEH2B	VAC14	CTSH
ABCC4	SERPINF1	IL32
GPR183	SAT2	TVP23A
IRS2	VTN	SOCS1
DAAM1	DHX58	SNN
CKB	NFE2L1	NDE1
GABPB1	RASSF2	CCL22
RP11-486I11.2	DLGAP4	CCL17
IL4R	SDC4	CCR7
ZNF267	DBNDD2	MMD
ITFG1	FSTL3	CYTH1
ARRB2	ZNF260	TUBB6
ENO3	LYPD3	CYB5A
SMARCE1	ZNF296	PTPN1
TGIF1	ATF5	GPX4
MALT1	IGLV1-44	EBI3
BCL2	IGLV2-14	TRIP10
ABHD12	MCM5	NCCRP1
IZUMO4	LGALS2	PVRL2
TYROBP	LGALS1	RELB
MAFF	APOBEC3G	IL4I1
ENTHD1	FAM118A	ADORA2A
BTG3	ODF3B	SAMSN1
ABCG1	CTA-384D8.35	MIR155HG
